Datum;Fahrplan Resopt;Strompreis ;BHKW1 Thermische Leistung ;BHKW1 Thermische Leistung ResOpt;BHKW1 Erdgas ;Lastgang;Stromeinspeisung;Wärmelast Ist;Wärmelastgang Ist
2025/10/01 00:15;0;92.912;0;0;0;0.027;0;0.029;0
2025/10/01 00:30;0;92.912;0;0;0;0.029;0;0.023;0
2025/10/01 00:45;0;92.912;0;0;0;0.027;0;0.023;0
2025/10/01 01:00;0;92.912;0;0;0;0.027;0;0.023;0
2025/10/01 01:15;0;91.557;0;0;0;0.027;0;0.027;0
2025/10/01 01:30;0;91.557;0;0;0;0.026;0;0.023;0
2025/10/01 01:45;0;91.557;0;0;0;0.026;0;0.023;0
2025/10/01 02:00;0;91.557;0;0;0;0.026;0;0.023;0
2025/10/01 02:15;0;88.034;0;0;0;0.025;0;0.023;0
2025/10/01 02:30;0;88.034;0;0;0;0.026;0;0.024;0
2025/10/01 02:45;0;88.034;0;0;0;0.025;0;0.028;0
2025/10/01 03:00;0;88.034;0;0;0;0.025;0;0.024;0
2025/10/01 03:15;0;88.706;0;0;0;0.025;0;0.025;0
2025/10/01 03:30;0;88.706;0;0;0;0.025;0;0.024;0
2025/10/01 03:45;0;88.706;0;0;0;0.025;0;0.025;0
2025/10/01 04:00;0;88.706;0;0;0;0.026;0;0.025;0
2025/10/01 04:15;0;86.669;0;0;0;0.028;0;0.024;0
2025/10/01 04:30;0;86.669;0;0;0;0.024;0;0.025;0
2025/10/01 04:45;0;86.669;0;0;0;0.025;0;0.025;0
2025/10/01 05:00;0;86.669;0;0;0;0.025;0;0.025;0
2025/10/01 05:15;0;87.362;0;0;0;0.026;0;0.024;0
2025/10/01 05:30;0;87.362;0;0;0;0.026;0;0.024;0
2025/10/01 05:45;0;87.362;0;0;0;0.025;0;0.027;0
2025/10/01 06:00;0;87.362;0;0;0;0.025;0;0.029;0
2025/10/01 06:15;0;116.832;0;0;0;0.035;0;0.034;0
2025/10/01 06:30;0;116.832;0;0;0;0.035;0;0.038;0
2025/10/01 06:45;0;116.832;0;0;0;0.033;0;0.03;0
2025/10/01 07:00;0;116.832;0;0;0;0.041;0;0.024;0
2025/10/01 07:15;0;136.934;0;0;0;0.036;0;0.03;0
2025/10/01 07:30;0;136.934;0;0;0;0.062;0;0.025;0
2025/10/01 07:45;0;136.934;0;0;0;0.054;0;0.033;0
2025/10/01 08:00;0;136.934;0;0;0;0.042;0;0.027;0
2025/10/01 08:15;0;125.211;0;0;0;0.046;0;0.021;0
2025/10/01 08:30;0;125.211;0;0;0;0.054;0;0.03;0
2025/10/01 08:45;0;125.211;0;0;0;0.052;0;0.029;0
2025/10/01 09:00;0;125.211;0;0;0;0.052;0;0.023;0
2025/10/01 09:15;0;103.574;0;0;0;0.04;0;0.021;0
2025/10/01 09:30;0;103.574;0;0;0;0.037;0;0.02;0
2025/10/01 09:45;0;103.574;0;0;0;0.036;0;0.019;0
2025/10/01 10:00;0;103.574;0;0;0;0.032;0;0.014;0
2025/10/01 10:15;0;85.552;0;0;0;0.032;0;0.009;0
2025/10/01 10:30;0;85.552;0;0;0;0.032;0;0.012;0
2025/10/01 10:45;0;85.552;0;0;0;0.03;0;0.016;0
2025/10/01 11:00;0;85.552;0;0;0;0.024;0;0.013;0
2025/10/01 11:15;0;68.537;0;0;0;0.024;0;0.016;0
2025/10/01 11:30;0;68.537;0;0;0;0.026;0;0.015;0
2025/10/01 11:45;0;68.537;0;0;0;0.027;0;0.015;0
2025/10/01 12:00;0;68.537;0;0;0;0.02;0;0.014;0
2025/10/01 12:15;0;63.228;0;0;0;0.025;0;0.015;0
2025/10/01 12:30;0;63.228;0;0;0;0.022;0;0.013;0
2025/10/01 12:45;0;63.228;0;0;0;0.026;0;0.013;0
2025/10/01 13:00;0;63.228;0;0;0;0.022;0;0.012;0
2025/10/01 13:15;0;61.416;0;0;0;0.024;0;0.013;0
2025/10/01 13:30;0;61.416;0;0;0;0.023;0;0.01;0
2025/10/01 13:45;0;61.416;0;0;0;0.023;0;0.012;0
2025/10/01 14:00;0;61.416;0;0;0;0.023;0;0.015;0
2025/10/01 14:15;0;58.788;0;0;0;0.024;0;0.011;0
2025/10/01 14:30;0;58.788;0;0;0;0.022;0;0.011;0
2025/10/01 14:45;0;58.788;0;0;0;0.03;0;0.01;0
2025/10/01 15:00;0;58.788;0;0;0;0.024;0;0.011;0
2025/10/01 15:15;0;67.304;0;0;0;0.025;0;0.012;0
2025/10/01 15:30;0;67.304;0;0;0;0.028;0;0.012;0
2025/10/01 15:45;0;67.304;0;0;0;0.03;0;0.012;0
2025/10/01 16:00;0;67.304;0;0;0;0.028;0;0.014;0
2025/10/01 16:15;0;81.154;0;0;0;0.028;0;0.011;0
2025/10/01 16:30;0;81.154;0;0;0;0.027;0;0.011;0
2025/10/01 16:45;0;81.154;0;0;0;0.023;0;0.013;0
2025/10/01 17:00;0;81.154;0;0;0;0.025;0;0.015;0
2025/10/01 17:15;0;103.471;0;0;0;0.028;0;0.013;0
2025/10/01 17:30;0;103.471;0;0;0;0.025;0;0.015;0
2025/10/01 17:45;0;103.471;0;0;0;0.033;0;0.016;0
2025/10/01 18:00;0;103.471;0;0;0;0.037;0;0.016;0
2025/10/01 18:15;-0.126;129.84;0.194;0.14;0.422;0.049;0.084;0.02;0.214
2025/10/01 18:30;-0.126;129.84;0.194;0.14;0.422;0.04;0.122;0.018;0.22
2025/10/01 18:45;-0.126;129.84;0.194;0.14;0.422;0.036;0.121;0.063;0.229
2025/10/01 19:00;-0.126;129.84;0.194;0.14;0.422;0.027;0.121;0.095;0.217
2025/10/01 19:15;-0.126;158.312;0.194;0.14;0.422;0.029;0.121;0.078;0.226
2025/10/01 19:30;-0.126;158.312;0.194;0.14;0.422;0.028;0.121;0.06;0.221
2025/10/01 19:45;-0.126;158.312;0.194;0.14;0.422;0.044;0.121;0.043;0.22
2025/10/01 20:00;-0.126;158.312;0.194;0.14;0.422;0.039;0.121;0.04;0.202
2025/10/01 20:15;-0.126;157.446;0.194;0.14;0.422;0.045;0.064;0.038;0
2025/10/01 20:30;-0.126;157.446;0.194;0.14;0.422;0.048;0;0.031;0
2025/10/01 20:45;-0.126;157.446;0.194;0.14;0.422;0.044;0;0.028;0
2025/10/01 21:00;-0.126;157.446;0.194;0.14;0.422;0.041;0;0.029;0
2025/10/01 21:15;-0.126;137.704;0.194;0.14;0.422;0.043;0.011;0.03;0.206
2025/10/01 21:30;-0.126;137.704;0.194;0.14;0.422;0.041;0.088;0.031;0.028
2025/10/01 21:45;-0.126;137.704;0.194;0.14;0.422;0.049;0;0.029;0
2025/10/01 22:00;-0.126;137.704;0.194;0.14;0.422;0.046;0;0.024;0
2025/10/01 22:15;0;112.793;0;0;0;0.035;0;0.03;0
2025/10/01 22:30;0;112.793;0;0;0;0.028;0;0.027;0
2025/10/01 22:45;0;112.793;0;0;0;0.032;0;0.023;0
2025/10/01 23:00;0;112.793;0;0;0;0.033;0;0.026;0
2025/10/01 23:15;0;93.8;0;0;0;0.031;0;0.027;0
2025/10/01 23:30;0;93.8;0;0;0;0.03;0;0.021;0
2025/10/01 23:45;0;93.8;0;0;0;0.032;0;0.025;0
2025/10/02 00:00;0;93.8;0;0;0;0.032;0;0.025;0
2025/10/02 00:15;0;92.912;0;0;0;0.024;0;0.024;0
2025/10/02 00:30;0;92.912;0;0;0;0.024;0;0.024;0
2025/10/02 00:45;0;92.912;0;0;0;0.024;0;0.024;0
